Date,IDFirm,Volume,Value,Frequency
2022-11-23,MK,356985200.0,90958485200.0,26270.0
2022-11-23,MU,12678900.0,2761546400.0,700.0
2022-11-23,NI,621476296.0,264155817300.0,52927.0
2022-11-23,OD,316326472.0,336327662752.0,24848.0
2022-11-23,OK,7800100.0,3380424200.0,513.0
2022-11-23,PC,216999300.0,40411369200.0,5048.0
2022-11-23,PD,2171579812.0,665993662608.0,200519.0
2022-11-23,PF,89513700.0,23983847400.0,2537.0
2022-11-23,PG,2603184000.0,85919339900.0,12066.0
2022-11-23,PO,397990400.0,196105839900.0,4386.0
2022-11-23,PP,61679600.0,53964558000.0,139.0
2022-11-23,PS,426314200.0,95875677300.0,26541.0
2022-11-23,RB,21178000.0,6289297500.0,288.0
2022-11-23,RF,222728800.0,104992840700.0,9498.0
2022-11-23,RG,97734300.0,34960295400.0,3214.0
2022-11-23,RO,342861600.0,52705758500.0,11121.0
2022-11-23,RS,2254700.0,1207269900.0,143.0
2022-11-23,RX,178060876.0,633739171020.0,11541.0
2022-11-23,SA,105189700.0,48408549400.0,2330.0
2022-11-23,SC,500.0,4462500.0,1.0
2022-11-23,SF,52217100.0,35358620500.0,3409.0
2022-11-23,SH,847088400.0,101131659600.0,13843.0
2022-11-23,SQ,2801788800.0,1290061321400.0,35570.0
2022-11-23,SS,10591300.0,3504559100.0,225.0
2022-11-23,TF,216801100.0,38572869900.0,6410.0
2022-11-23,TP,282340700.0,119307952900.0,10253.0
2022-11-23,TS,387266600.0,169428225200.0,20286.0
2022-11-23,XA,308383900.0,118723444200.0,23438.0
2022-11-23,XC,942999900.0,355579444900.0,135890.0
2022-11-23,XL,468996128.0,129983931928.0,61202.0
2022-11-23,YB,558646600.0,186150470100.0,36962.0
2022-11-23,YJ,647072400.0,159774184400.0,18781.0
2022-11-23,YO,2199600.0,1243359000.0,51.0
2022-11-23,YP,4294128628.0,1579800829752.0,324002.0
2022-11-23,YU,911659474.0,1276199939334.0,64172.0
2022-11-23,ZP,3173099534.0,1624457090680.0,88589.0
2022-11-23,ZR,73855200.0,47535518400.0,4729.0
2022-11-24,AF,11724500.0,4221519400.0,452.0
2022-11-24,AG,467722500.0,368393799700.0,5846.0
2022-11-24,AH,47622400.0,27923031100.0,1589.0
2022-11-24,AI,262998077.0,81848184177.0,7049.0
2022-11-24,AK,959383680.0,1128451771500.0,80460.0
2022-11-24,AN,239381800.0,69518876800.0,4580.0
2022-11-24,AO,752785600.0,126339233400.0,12004.0
2022-11-24,AP,798901600.0,538335276900.0,1452.0
2022-11-24,AR,35376500.0,9342120600.0,875.0
2022-11-24,AT,409472782.0,197612626868.0,18649.0
2022-11-24,AZ,2588259517.0,347496444877.0,58406.0
2022-11-24,BB,182962100.0,595947995200.0,10630.0
2022-11-24,BF,2995100.0,303276000.0,37.0
2022-11-24,BK,715804436.0,1096937769200.0,44786.0
2022-11-24,BQ,1015774820.0,242999469350.0,78882.0
2022-11-24,BR,297553900.0,198425455500.0,10114.0
2022-11-24,BS,42368000.0,12121670500.0,475.0
2022-11-24,CC,7947710756.0,1147311808256.0,132026.0
2022-11-24,CD,109763400.0,105313149650.0,4341.0
2022-11-24,CP,3050565700.0,419144514500.0,150737.0
2022-11-24,CS,315533712.0,449179189200.0,16074.0
2022-11-24,DD,195800.0,63008800.0,12.0
2022-11-24,DH,360682490.0,265613573616.0,19657.0
2022-11-24,DM,25000.0,3255000.0,8.0
2022-11-24,DP,29527500.0,11156297300.0,675.0
2022-11-24,DR,653050700.0,238641861300.0,32813.0
2022-11-24,DU,189127400.0,6880881300.0,1242.0
2022-11-24,DX,204790852.0,287209123820.0,10681.0
2022-11-24,EL,22633300.0,10797637300.0,1475.0
2022-11-24,EP,1117528400.0,316645298900.0,66457.0
2022-11-24,ES,57393600.0,10002445800.0,1134.0
2022-11-24,FO,175000.0,35695000.0,12.0
2022-11-24,FS,1199658100.0,340287887700.0,11076.0
2022-11-24,FZ,1249216000.0,84226147100.0,12031.0
2022-11-24,GA,83149100.0,38960058200.0,1686.0
2022-11-24,GI,2071000.0,401685000.0,15.0
2022-11-24,GR,605373500.0,255568304500.0,25754.0
2022-11-24,GW,2353200.0,1890999000.0,281.0
2022-11-24,HD,1319945300.0,427851106100.0,5512.0
2022-11-24,HP,286586600.0,51676259800.0,10020.0
2022-11-24,ID,935436500.0,45540501200.0,6907.0
2022-11-24,IF,2110611400.0,461284916700.0,16336.0
2022-11-24,IH,712504400.0,231754046300.0,13309.0
2022-11-24,II,715838400.0,114385440600.0,2334.0
2022-11-24,IN,1311492700.0,215672129100.0,11499.0
2022-11-24,IP,29686600.0,13659762700.0,2224.0
2022-11-24,IT,3041800.0,5777599600.0,141.0
2022-11-24,IU,148688500.0,45509184500.0,7735.0
2022-11-24,KI,142025300.0,59045797200.0,5166.0
2022-11-24,KK,1386693500.0,238296380300.0,56770.0
2022-11-24,KZ,136810500.0,285781612400.0,13049.0
2022-11-24,LG,560142000.0,270068547600.0,23777.0
2022-11-24,LH,664201200.0,149834613600.0,7525.0
2022-11-24,LS,525484600.0,33351528600.0,6904.0
2022-11-24,MG,3105362800.0,460562144600.0,61391.0
2022-11-24,MI,91623700.0,58344683300.0,2589.0
2022-11-24,MK,528860100.0,119971903800.0,32754.0
2022-11-24,MU,12391600.0,2563489000.0,899.0
2022-11-24,NI,827923020.0,283459056440.0,52307.0
2022-11-24,OD,467454027.0,446776902286.0,28097.0
2022-11-24,OK,4739600.0,1885648200.0,167.0
2022-11-24,PC,127149400.0,47316321700.0,4814.0
2022-11-24,PD,3097336276.0,1953035525192.0,218255.0
2022-11-24,PF,216425100.0,21509143800.0,5204.0
2022-11-24,PG,7181105692.0,214266970388.0,19883.0
2022-11-24,PO,620958500.0,255957951700.0,2979.0
2022-11-24,PP,1932600.0,4102223100.0,174.0
2022-11-24,PS,872732500.0,104619334800.0,10828.0
2022-11-24,RB,16238000.0,5367131800.0,326.0
2022-11-24,RF,272212700.0,96478819300.0,5460.0
2022-11-24,RG,131427300.0,25172580000.0,2165.0
2022-11-24,RO,768475000.0,43424636300.0,8833.0
2022-11-24,RS,6786400.0,3080636200.0,212.0
2022-11-24,RX,89447720.0,278913759900.0,11077.0
2022-11-24,SA,127882927.0,33342175686.0,2569.0
2022-11-24,SC,500.0,4487500.0,1.0
2022-11-24,SF,61743400.0,30024299300.0,3823.0
